암호화요양기호,주소
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNjEjJDEjJDgjJDgz,"경기도 성남시 수정구 수정로 71, 2층 (태평동)"
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz,"경기도 성남시 분당구 성남대로 168, 미도프라자 804,804-1호 (금곡동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3OSQzNjEyMjIjNjEjJDEjJDgjJDgz,"경기도 성남시 분당구 운중로 115, 502호 (운중동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 장미로 101, 1202호 (야탑동, 장미마을 근린상가)"
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 중원구 둔촌대로 106, 3층 (하대원동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 7층 707호 (창곡동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 분당구 분당로53번길 12, 서현나산플라자 5층 (서현동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,"경기도 성남시 수정구 위례광장로 5, 남위례역아이파크 309,310일부호 (창곡동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,"경기도 성남시 분당구 돌마로 75, 미금프라자 3층 303호 (금곡동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,"경기도 성남시 분당구 매화로 39, 광명조합상가 2~5층 (야탑동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,"경기도 성남시 수정구 수정로 291, 상가1동 108,109,112호 (신흥동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,"경기도 성남시 분당구 성남대로916번길 11, 글라스타워 201-4호 (야탑동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDIjJDgz,"경기도 성남시 수정구 수정로 346, 3층 (산성동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,"경기도 성남시 분당구 돌마로 68, 분당프라자 202호 (구미동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,"경기도 성남시 중원구 도촌로8번길 34, (도촌동)"
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 위례광장로 9-9, 3층 일부, 4층 (창곡동)"
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 205-206호 (창곡동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,"경기도 성남시 수정구 산성대로 529-1, 2층 (양지동)"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQxIyQzIyQwMyQzNjEyMjIjODEjJDEjJDIjJDgz,"경기도 성남시 수정구 산성대로 267, 501, 502, 535호 (신흥동)"
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz,"경기도 성남시 중원구 금상로 7, (상대원동)"
