암호화요양기호,진료종료시간_화요일
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,1900.0
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDQjJDgz,1800.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,1800.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNTEjJDEjJDYjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,1800.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ1IyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,1800.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz,1900.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQzIyQwMyQyNjEwMDIjNjEjJDEjJDAjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQzNjE0ODEjNTEjJDEjJDIjJDgz,1800.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQyNjE4MzIjNjEjJDEjJDgjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQyIyQ3IyQwMCQyNjE4MzIjNzEjJDEjJDgjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,2030.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQ1IyQ5MiQyNjEyMjIjNDEjJDEjJDgjJDgz,1830.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjODEjJDEjJDIjJDgz,630.0
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE0ODEjNjEjJDEjJDQjJDgz,1800.0
