암호화요양기호,검색코드명
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,일차의료 한의 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,장애인 건강주치의 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,심실 보조장치치료술(이식형)
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,결핵환자 재택의료 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDAjJDgz,노숙인 진료기관
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,장애인 건강주치의 시범기관
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,가정간호 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,일차의료 만성질환관리 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,일차의료 만성질환관리 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ3MiQzNjE0ODEjNjEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQyIyQxIyQwMCQyNjE4MzIjNjEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjE4MzIjNTEjJDEjJDYjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,일차의료 만성질환관리 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDIjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,수면다원검사 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNjEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNjEjJDEjJDQjJDgz,아동 일차의료 심층상담 시범사업
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,HPV 예방접종사업 참여기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,일차의료 만성질환관리 실시기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,일차의료 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,일차의료 방문진료 수가 시범기관
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQxIyQ3MiQzNjE4MzIjNDEjJDEjJDQjJDgz,비대면진료 시범사업 휴일·야간 진료기관(의료기관)
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,측두하악 관절자극요법 실시기관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,측두하악 관절자극요법 실시기관
