암호화요양기호,유형코드명
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDYjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDYjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,건강보험
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,건강보험(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,의료급여(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,건강보험
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,건강보험(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,의료급여(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,건강보험
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,건강보험(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,의료급여(환자수)
