암호화요양기호,종별코드명
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDIjJDgz,치과의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz,의원
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,요양병원
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,요양병원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,의원
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,치과의원
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQxIyQzIyQwMyQzNjEyMjIjODEjJDEjJDIjJDgz,치과의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz,의원
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,한의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNTEjJDEjJDYjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNzEjJDEjJDgjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz,의원
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQzNjEyMjIjODEjJDEjJDYjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,의원
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,의원
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,치과병원
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz,치과의원
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDIjJDgz,치과병원
JDQ4MTYyMiM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,치과병원
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,한의원
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,한의원
